t,date,age_days,well_id,plate,treatment,n_larvae,count,status_set,status_dead,swim,round,settled,detached,dead,total
t0,27/03/2024,1,PAhh1,1,PAhh,10,0,0,0,10,0,0,0,0,10
t1,28/03/2024,2,PAhh1,1,PAhh,10,0,0,0,10,0,0,0,0,10
t2,29/03/2024,3,PAhh1,1,PAhh,10,0,0,0,9,1,0,0,0,10
t3,30/03/2024,4,PAhh1,1,PAhh,10,0,0,0,10,0,0,0,0,10
t4,31/03/2024,5,PAhh1,1,PAhh,10,1,1,0,7,1,1,1,0,10
t5,01/04/2024,6,PAhh1,1,PAhh,10,3,1,0,4,2,3,1,0,10
t6,02/04/2024,7,PAhh1,1,PAhh,10,4,1,0,3,2,4,1,0,10
t7,03/04/2024,8,PAhh1,1,PAhh,10,4,1,0,3,2,4,1,0,10
t8,04/04/2024,9,PAhh1,1,PAhh,10,3,1,0,3,2,3,2,0,10
t9,05/04/2024,10,PAhh1,1,PAhh,10,3,1,0,3,2,3,2,0,10
t10,06/04/2024,11,PAhh1,1,PAhh,10,4,1,0,2,0,4,4,0,10
t11,07/04/2024,12,PAhh1,1,PAhh,10,4,1,0,0,2,4,4,0,10
t12,08/04/2024,13,PAhh1,1,PAhh,10,4,1,0,0,2,4,4,0,10
t13,09/04/2024,14,PAhh1,1,PAhh,10,4,1,0,0,2,4,4,0,10
t14,10/04/2024,15,PAhh1,1,PAhh,10,4,1,0,1,1,4,4,0,10
t15,11/04/2024,16,PAhh1,1,PAhh,10,4,1,0,1,1,4,4,0,10
t16,12/04/2024,17,PAhh1,1,PAhh,10,4,1,0,0,2,4,4,0,10
t17,13/04/2024,18,PAhh1,1,PAhh,10,4,1,0,1,1,4,4,0,10
t0,27/03/2024,1,PAhh2,1,PAhh,10,0,0,0,10,0,0,0,0,10
t1,28/03/2024,2,PAhh2,1,PAhh,10,0,0,0,10,0,0,0,0,10
t2,29/03/2024,3,PAhh2,1,PAhh,10,0,0,0,10,0,0,0,0,10
t3,30/03/2024,4,PAhh2,1,PAhh,10,1,1,0,8,1,1,0,0,10
t4,31/03/2024,5,PAhh2,1,PAhh,10,3,1,0,2,4,3,1,0,10
t5,01/04/2024,6,PAhh2,1,PAhh,10,5,1,0,1,2,5,2,0,10
t6,02/04/2024,7,PAhh2,1,PAhh,10,6,1,0,0,2,6,2,0,10
t7,03/04/2024,8,PAhh2,1,PAhh,10,5,1,1,0,2,5,2,1,10
t8,04/04/2024,9,PAhh2,1,PAhh,10,3,1,1,0,2,3,4,1,10
t9,05/04/2024,10,PAhh2,1,PAhh,10,3,1,1,0,2,3,4,1,10
t10,06/04/2024,11,PAhh2,1,PAhh,10,4,1,1,0,1,4,4,1,10
t11,07/04/2024,12,PAhh2,1,PAhh,10,4,1,1,0,0,4,5,1,10
t12,08/04/2024,13,PAhh2,1,PAhh,10,4,1,1,0,0,4,5,1,10
t13,09/04/2024,14,PAhh2,1,PAhh,10,4,1,1,0,0,4,5,1,10
t14,10/04/2024,15,PAhh2,1,PAhh,10,4,1,1,0,0,4,5,1,10
t15,11/04/2024,16,PAhh2,1,PAhh,10,4,1,1,0,0,4,5,1,10
t16,12/04/2024,17,PAhh2,1,PAhh,10,4,1,1,0,0,4,5,1,10
t17,13/04/2024,18,PAhh2,1,PAhh,10,4,1,1,0,0,4,5,1,10
t0,27/03/2024,1,all1,1,all,10,0,0,0,10,0,0,0,0,10
t1,28/03/2024,2,all1,1,all,10,1,1,0,9,0,1,0,0,10
t2,29/03/2024,3,all1,1,all,10,1,1,0,9,0,1,0,0,10
t3,30/03/2024,4,all1,1,all,10,1,1,0,8,1,1,0,0,10
t4,31/03/2024,5,all1,1,all,10,1,1,0,7,2,1,0,0,10
t5,01/04/2024,6,all1,1,all,10,3,1,0,5,2,3,0,0,10
t6,02/04/2024,7,all1,1,all,10,5,1,0,3,2,5,0,0,10
t7,03/04/2024,8,all1,1,all,10,5,1,0,3,2,5,0,0,10
t8,04/04/2024,9,all1,1,all,10,4,1,0,3,2,4,1,0,10
t9,05/04/2024,10,all1,1,all,10,4,1,1,3,1,4,1,1,10
t10,06/04/2024,11,all1,1,all,10,5,1,1,0,2,5,2,1,10
t11,07/04/2024,12,all1,1,all,10,5,1,1,0,0,5,4,1,10
t12,08/04/2024,13,all1,1,all,10,5,1,1,0,0,5,4,1,10
t13,09/04/2024,14,all1,1,all,10,5,1,1,0,0,5,4,1,10
t14,10/04/2024,15,all1,1,all,10,5,1,1,0,0,5,4,1,10
t15,11/04/2024,16,all1,1,all,10,5,1,1,0,0,5,4,1,10
t16,12/04/2024,17,all1,1,all,10,5,1,1,0,0,5,4,1,10
t17,13/04/2024,18,all1,1,all,10,5,1,1,0,0,5,4,1,10
t0,27/03/2024,1,all2,1,all,10,0,0,0,10,0,0,0,0,10
t1,28/03/2024,2,all2,1,all,10,0,0,0,10,0,0,0,0,10
t2,29/03/2024,3,all2,1,all,10,0,0,0,10,0,0,0,0,10
t3,30/03/2024,4,all2,1,all,10,0,0,0,10,0,0,0,0,10
t4,31/03/2024,5,all2,1,all,10,1,1,0,7,1,1,1,0,10
t5,01/04/2024,6,all2,1,all,10,3,1,0,3,3,3,1,0,10
t6,02/04/2024,7,all2,1,all,10,2,1,0,3,3,2,2,0,10
t7,03/04/2024,8,all2,1,all,10,2,1,0,3,1,2,4,0,10
t8,04/04/2024,9,all2,1,all,10,2,1,0,3,1,2,4,0,10
t9,05/04/2024,10,all2,1,all,10,2,1,0,3,1,2,4,0,10
t10,06/04/2024,11,all2,1,all,10,2,1,0,2,2,2,4,0,10
t11,07/04/2024,12,all2,1,all,10,2,1,0,2,2,2,4,0,10
t12,08/04/2024,13,all2,1,all,10,2,1,0,3,1,2,4,0,10
t13,09/04/2024,14,all2,1,all,10,2,1,0,3,1,2,4,0,10
t14,10/04/2024,15,all2,1,all,10,2,1,0,2,2,2,4,0,10
t15,11/04/2024,16,all2,1,all,10,2,1,0,4,0,2,4,0,10
t16,12/04/2024,17,all2,1,all,10,2,1,0,3,1,2,4,0,10
t17,13/04/2024,18,all2,1,all,10,2,1,0,3,1,2,4,0,10
t0,27/03/2024,1,none1,1,none,10,0,0,0,10,0,0,0,0,10
t1,28/03/2024,2,none1,1,none,10,0,0,0,10,0,0,0,0,10
t2,29/03/2024,3,none1,1,none,10,0,0,0,10,0,0,0,0,10
t3,30/03/2024,4,none1,1,none,10,0,0,0,10,0,0,0,0,10
t4,31/03/2024,5,none1,1,none,10,0,0,0,9,1,0,0,0,10
t5,01/04/2024,6,none1,1,none,10,3,1,0,5,1,3,1,0,10
t6,02/04/2024,7,none1,1,none,10,5,1,0,4,0,5,1,0,10
t7,03/04/2024,8,none1,1,none,10,5,1,0,4,0,5,1,0,10
t8,04/04/2024,9,none1,1,none,10,5,1,0,4,0,5,1,0,10
t9,05/04/2024,10,none1,1,none,10,5,1,0,4,0,5,1,0,10
t10,06/04/2024,11,none1,1,none,10,5,1,0,4,0,5,1,0,10
t11,07/04/2024,12,none1,1,none,10,5,1,0,4,0,5,1,0,10
t12,08/04/2024,13,none1,1,none,10,5,1,0,4,0,5,1,0,10
t13,09/04/2024,14,none1,1,none,10,5,1,0,3,1,5,1,0,10
t14,10/04/2024,15,none1,1,none,10,5,1,0,3,1,5,1,0,10
t15,11/04/2024,16,none1,1,none,10,5,1,0,4,0,5,1,0,10
t16,12/04/2024,17,none1,1,none,10,5,1,0,4,0,5,1,0,10
t17,13/04/2024,18,none1,1,none,10,5,1,0,3,1,5,1,0,10
t0,27/03/2024,1,none2,1,none,10,0,0,0,10,0,0,0,0,10
t1,28/03/2024,2,none2,1,none,10,0,0,0,10,0,0,0,0,10
t2,29/03/2024,3,none2,1,none,10,0,0,0,10,0,0,0,0,10
t3,30/03/2024,4,none2,1,none,10,0,0,0,10,0,0,0,0,10
t4,31/03/2024,5,none2,1,none,10,0,0,0,10,0,0,0,0,10
t5,01/04/2024,6,none2,1,none,10,1,1,0,8,1,1,0,0,10
t6,02/04/2024,7,none2,1,none,10,1,1,0,8,1,1,0,0,10
t7,03/04/2024,8,none2,1,none,10,2,1,0,6,2,2,0,0,10
t8,04/04/2024,9,none2,1,none,10,2,1,0,6,2,2,0,0,10
t9,05/04/2024,10,none2,1,none,10,2,1,0,6,2,2,0,0,10
t10,06/04/2024,11,none2,1,none,10,2,1,0,2,6,2,0,0,10
t11,07/04/2024,12,none2,1,none,10,2,1,0,3,5,2,0,0,10
