date_in,age_days,chamber,treatment,larvae_start_num,count,set_status,dead_status,origin_depth,trans_depth
28/04/2021,7.5,2,SS,40,24,1,0,shallow,shallow
18/05/2022,7.5,4,SS,10,3,1,0,shallow,shallow
28/04/2021,7.5,5,SS,40,31,1,0,shallow,shallow
18/05/2022,7.5,7,SS,10,4,1,0,shallow,shallow
28/04/2021,7.5,8,SS,40,23,1,0,shallow,shallow
18/05/2022,7.5,10,SS,10,8,1,0,shallow,shallow
22/03/2022,7.5,30,SS,10,4,1,0,shallow,shallow
22/03/2022,7.5,37,SS,10,6,1,0,shallow,shallow
22/03/2022,7.5,41,SS,10,5,1,0,shallow,shallow
28/04/2021,7.5,2,SS,40,13,0,1,shallow,shallow
18/05/2022,7.5,4,SS,10,3,0,1,shallow,shallow
28/04/2021,7.5,5,SS,40,6,0,1,shallow,shallow
18/05/2022,7.5,7,SS,10,2,0,1,shallow,shallow
28/04/2021,7.5,8,SS,40,5,0,1,shallow,shallow
18/05/2022,7.5,10,SS,10,0,0,1,shallow,shallow
22/03/2022,7.5,30,SS,10,6,0,1,shallow,shallow
22/03/2022,7.5,37,SS,10,4,0,1,shallow,shallow
22/03/2022,7.5,41,SS,10,5,0,1,shallow,shallow
22/03/2022,59.5,1,SS,10,7,1,0,shallow,shallow
22/03/2022,59.5,3,SS,10,6,1,0,shallow,shallow
22/03/2022,59.5,6,SS,10,5,1,0,shallow,shallow
26/04/2021,59.5,11,SS,40,17,1,0,shallow,shallow
26/04/2021,59.5,12,SS,40,19,1,0,shallow,shallow
26/04/2021,59.5,13,SS,40,20,1,0,shallow,shallow
18/05/2022,59.5,14,SS,10,1,1,0,shallow,shallow
18/05/2022,59.5,16,SS,10,6,1,0,shallow,shallow
18/05/2022,59.5,19,SS,10,2,1,0,shallow,shallow
22/03/2022,59.5,1,SS,10,3,0,1,shallow,shallow
22/03/2022,59.5,3,SS,10,4,0,1,shallow,shallow
22/03/2022,59.5,6,SS,10,5,0,1,shallow,shallow
26/04/2021,59.5,11,SS,40,23,0,1,shallow,shallow
26/04/2021,59.5,12,SS,40,21,0,1,shallow,shallow
26/04/2021,59.5,13,SS,40,20,0,1,shallow,shallow
18/05/2022,59.5,14,SS,10,9,0,1,shallow,shallow
18/05/2022,59.5,16,SS,10,4,0,1,shallow,shallow
18/05/2022,59.5,19,SS,10,8,0,1,shallow,shallow
22/03/2022,7.75,9,SD,10,3,1,0,shallow,mesophotic
22/03/2022,7.75,18,SD,10,5,1,0,shallow,mesophotic
22/03/2022,7.75,24,SD,10,3,1,0,shallow,mesophotic
18/05/2022,7.75,25,SD,10,6,1,0,shallow,mesophotic
18/05/2022,7.75,26,SD,10,6,1,0,shallow,mesophotic
18/05/2022,7.75,27,SD,10,7,1,0,shallow,mesophotic
28/04/2021,7.75,34,SD,40,33,1,0,shallow,mesophotic
28/04/2021,7.75,36,SD,40,22,1,0,shallow,mesophotic
28/04/2021,7.75,40,SD,40,27,1,0,shallow,mesophotic
22/03/2022,7.75,9,SD,10,7,0,1,shallow,mesophotic
22/03/2022,7.75,18,SD,10,4,0,1,shallow,mesophotic
22/03/2022,7.75,24,SD,10,6,0,1,shallow,mesophotic
18/05/2022,7.75,25,SD,10,4,0,1,shallow,mesophotic
18/05/2022,7.75,26,SD,10,4,0,1,shallow,mesophotic
18/05/2022,7.75,27,SD,10,3,0,1,shallow,mesophotic
28/04/2021,7.75,34,SD,40,4,0,1,shallow,mesophotic
28/04/2021,7.75,36,SD,40,16,0,1,shallow,mesophotic
28/04/2021,7.75,40,SD,40,10,0,1,shallow,mesophotic
26/04/2021,59.75,15,SD,40,31,1,0,shallow,mesophotic
26/04/2021,59.75,17,SD,40,28,1,0,shallow,mesophotic
26/04/2021,59.75,20,SD,40,22,1,0,shallow,mesophotic
18/05/2022,59.75,21,SD,10,8,1,0,shallow,mesophotic
18/05/2022,59.75,22,SD,10,6,1,0,shallow,mesophotic
18/05/2022,59.75,23,SD,10,8,1,0,shallow,mesophotic
22/03/2022,59.75,28,SD,10,2,1,0,shallow,mesophotic
22/03/2022,59.75,29,SD,10,1,1,0,shallow,mesophotic
22/03/2022,59.75,31,SD,10,8,1,0,shallow,mesophotic
26/04/2021,59.75,15,SD,40,9,0,1,shallow,mesophotic
26/04/2021,59.75,17,SD,40,12,0,1,shallow,mesophotic
26/04/2021,59.75,20,SD,40,18,0,1,shallow,mesophotic
18/05/2022,59.75,21,SD,10,2,0,1,shallow,mesophotic
18/05/2022,59.75,22,SD,10,4,0,1,shallow,mesophotic
18/05/2022,59.75,23,SD,10,2,0,1,shallow,mesophotic
22/03/2022,59.75,28,SD,10,8,0,1,shallow,mesophotic
22/03/2022,59.75,29,SD,10,9,0,1,shallow,mesophotic
22/03/2022,59.75,31,SD,10,2,0,1,shallow,mesophotic
18/05/2022,8,35,DS,10,3,1,0,mesophotic,shallow
18/05/2022,8,38,DS,10,3,1,0,mesophotic,shallow
18/05/2022,8,42,DS,10,2,1,0,mesophotic,shallow
18/05/2022,8,35,DS,10,3,0,1,mesophotic,shallow
18/05/2022,8,38,DS,10,4,0,1,mesophotic,shallow
18/05/2022,8,42,DS,10,6,0,1,mesophotic,shallow
18/05/2022,60,32,DS,10,0,1,0,mesophotic,shallow
18/05/2022,60,33,DS,10,0,1,0,mesophotic,shallow
18/05/2022,60,39,DS,10,1,1,0,mesophotic,shallow
18/05/2022,60,43,DS,10,1,1,0,mesophotic,shallow
18/05/2022,60,32,DS,10,10,0,1,mesophotic,shallow
18/05/2022,60,33,DS,10,10,0,1,mesophotic,shallow
18/05/2022,60,39,DS,10,9,0,1,mesophotic,shallow
18/05/2022,60,43,DS,10,9,0,1,mesophotic,shallow
18/05/2022,8.25,45,DD,10,5,1,0,mesophotic,mesophotic
18/05/2022,8.25,47,DD,10,0,1,0,mesophotic,mesophotic
18/05/2022,8.25,45,DD,10,3,0,1,mesophotic,mesophotic
18/05/2022,8.25,47,DD,10,0,0,1,mesophotic,mesophotic
18/05/2022,60.25,44,DD,10,0,1,0,mesophotic,mesophotic
18/05/2022,60.25,46,DD,10,3,1,0,mesophotic,mesophotic
18/05/2022,60.25,48,DD,10,0,1,0,mesophotic,mesophotic
18/05/2022,60.25,49,DD,10,0,1,0,mesophotic,mesophotic
18/05/2022,60.25,44,DD,10,10,0,1,mesophotic,mesophotic
18/05/2022,60.25,46,DD,10,7,0,1,mesophotic,mesophotic
18/05/2022,60.25,48,DD,10,10,0,1,mesophotic,mesophotic
18/05/2022,60.25,49,DD,10,10,0,1,mesophotic,mesophotic
